USITEID,DISTRICT,COMMUNITY,Year,REGION,LAT_N_,LONG_W_,ENDEM_DIST,Endemism__04_07_,Total_MU_Present__VNTR_,USWBTYPE,WBFLOW,HUMAN,elevation,Dist_To_Ocean_km_,Aspect,Dir,Dir_Class,Wet_0_1km_AVG,Wet_0_1km_STD,Wet_0_5km_AVG,Wet_0_5km_STD,Wet_1km_AVG,Wet_1km_STD,Wet_5km_AVG,Wet_5km_STD,Water_100m,Water_500m,Water_1km,Water_5km,Water_10km,Wetlands_100m,Wetlands_500m,Wetlands_1km,Wetlands_5km,Wetlands_10km,Forest_100m,Forest_500m,Forest_1km,Forest_5km,Forest_10km,Cropland_100m,Cropland_500m,Cropland_1km,Cropland_5km,Cropland_10km,Shrubland_100m,Shrubland_500m,Shrubland_1km,Shrubland_5km,Shrubland_10km,Urban_100m,Urban_500m,Urban_1km,Urban_5km,Urban_10km,calcium,calcium_hardness,carbon_trioxide,chlorine,chlorophyll,color,dis_ox,cond,temp,fturb,iron,magn,manganese,nitrate,nitdiox,nitphos,oxred,ph,phosphate,sulfate,sussol,totalk,totds,totnit
S.5.1,Dangme West,Adumanya,2005,Accra,5.90346,-0.06449,NON,0,0,pond,lentic,human,47,27.47620652,142.9696045,SE,4,8.522194862,2.597271912,6.333872355,2.065462641,6.151300152,2.027386983,5.084373756,2.047012885,0,0,0,0,0,0,0,0,0.125129266,0.063864225,0,0,0,2.105480869,2.755211269,0,1.549586777,10.29487843,12.72182006,9.468194582,87.5,87.19008265,72.73667874,46.72905895,42.68974397,0,0,0.853595448,0.433298863,0.38396103,44.90000013,112,288,60.4999997,31.44,100.0000004,93.17,6.45204895,26.89,249.9,0.200000004,13.60000002,0.151000006,0.004,0.575000022,57.9,117,6.926,0.01,3.55,149.9999994,236,348.9999992,0.579000001
S.5.10,Amansie West,Tontokrom,2005,Ashanti,6.25192,-1.99414,END,1,0,stream,lotic,nature,145,141.7032333,253.3007507,W,7,8.099658012,3.48852429,4.656271025,2.125135818,4.76286498,2.243881585,4.562347152,1.775653529,0,0,0,0,0,0,0,0,0,0,0,0,0.41397154,9.734861019,16.48227486,0,0.206825233,0.077619664,0.019647584,0.055071917,0,0,0,0,0,0,5.170630817,2.794307891,0.24094143,0.527449343,7.209999972,2.25,39,7.900000029,10.34,14.99999998,56.61,4.29045944,23.5,5.742,1.60999999,6.250000008,0.007,0.151999994,0.01,16.2,-133,6.604,0.01,7.64,12,32,47.99999996,0.162000007
S.5.11,Amansie West,Bonsaaso,2005,Ashanti,6.23316,-1.99909,END,1,1,fetch,lentic,human,139,139.8879516,274.9697266,W,7,5.230798086,1.56664547,4.694479378,2.051183361,4.446498265,1.716998532,4.610790919,1.777241614,0,0,0,0,0,0,0,0,0,0,0,0,0.051733057,16.84455476,18.41839901,0,0,0,0.009308098,0.023011687,0,0,0,0,0,12.82051282,3.505154639,0.879461976,0.284414107,0.325266315,9.620000044,24,70.8,7.900000029,16.16,179.9999998,23.87,5.16820868,24.22,49.14,2.190000004,2.919999985,0.011,0.286999989,0.055,34.2,72.7,6.836,0.01,8.89,3.999999996,58,115.9999999,0.342000014
S.5.12,Amansie West,Bonsaaso,2005,Ashanti,6.229,-1.99715,END,1,0,stream,lotic,nature,147,139.3846188,274.9697266,W,7,6.409542958,3.082790492,4.885385254,2.150006684,4.175841744,1.673215265,4.586309986,1.748733403,0,0,0,0,0,0,0,0,0,0,0,0,0.051692944,21.0029889,19.13918893,0,0,0,0.008273779,0.019131433,0,0,0,0,0,0,0.310880829,0.878780047,0.284411166,0.289039757,4.010000025,1.25,29.3,14.90000001,5.186,4.999999988,53.95,4.59511985,23.8,0.01174,0.629999995,9.420000038,0.01,0.158000007,0.003,16.1,-144,6.65,0.01,5.57,23.99999999,24,62.00000031,0.161000002
S.5.13,Amansie West,Watreso,2005,Ashanti,6.24568,-1.91547,END,1,0,fetch,lentic,human,142,138.7119422,92.29061127,E,3,7.406735659,3.296357424,5.394973001,2.326569806,5.07483841,1.908081653,4.621080683,1.779844288,0,0,0,0,0,0,0,0,0,0,0,0.520833333,0.361944157,22.9701352,19.43682508,0,0.3125,0.12926577,0.013447951,0.015511612,0,0,0,0,0,0,3.958333333,3.619441572,0.298958301,0.263180346,7.209999972,2.25,48.8,8.900000028,36.7,29.99999995,30.88,4.58005749,26.23,329.1,6.38000001,9.179999989,0.009,0.123000003,0.003,12.6,-165,6.674,0.01,18.8,21.00000005,40,60.99999975,0.125999996
S.5.14,Amansie West,Bretsekrom,2005,Ashanti,6.20813,-1.91015,END,0,0,riverine wetland,lentic,nature,163,134.5404982,88.45184326,E,3,4.017208219,1.039864223,4.301077946,1.223620465,4.533069313,1.719833102,4.602075409,1.747132964,0,0,0,0,0,0,0,0,0,0,33.33333333,43.34365325,43.3479721,29.44856972,31.88448889,0,0,0,0.017581236,0.006722376,0,0,0,0,0,0,0,0.025833118,0.419881275,0.243039755,12.79999997,4,73.2,6.000000007,24.97,9.99999997,2.234,4.5119578,23.2,16.91,5.640000012,9.720000047,0.165000001,0.110999998,0.022000001,13.3,47.5,6.447,0.01,16.3,14.00000001,60,58.99999977,0.132999993
S.5.15,Amansie West,Nyame Bekyere,2005,Ashanti,6.17479,-1.9257,END,1,1,river,lotic,nature,130,131.4047729,139.7636414,SE,4,6.170618117,2.326607847,5.229739093,1.723537085,5.130884583,1.831242728,4.513495726,1.738522188,0,0,0,0,0,0,0,0,0,0,0,1.5625,1.034126163,41.57925227,47.41815474,2.777777778,0.208333333,0.051706308,0.00517245,0.007756006,0,0,0,0,0,63.88888889,2.604166667,0.672182006,0.224484307,0.191831891,10.40000005,26,85.4,5.000000005,10.26,9.99999997,82.33,5.65913372,25.6,11.69,1.100000004,5.829999976,0.027999999,1.920000008,0.009,192.9,64.5,7.618,0.01,7.51,3.000000004,70,157.0000007,1.928999992
S.5.16,Dunkwa,Aduman,2005,Ashanti,5.9237,-1.70317,NON,0,0,stream,lotic,nature,100,99.2316239,319.7636414,NW,8,7.487179279,1.698409673,4.667770174,2.000054698,4.560022298,1.758246592,4.077560171,1.760623161,0,0,0,0,0,0,0,0,0,0,0,0.931677019,1.576634789,2.533661503,6.323344252,5.128205128,1.035196687,0.336004135,0.078595214,0.073942124,0,0,0,0,0,7.692307692,4.865424431,1.473248902,0.419863906,0.432535569,6.410000005,16,31.7,26.79999998,5.651,14.99999998,90.34,4.38202663,23.51,11.86,1.580000003,3.399999996,0.031999999,0.125999996,0.011,13.7,-58.9,7.155,0.01,7.01,15.99999996,26,54.00000019,0.136999994
S.5.17,Dunkwa,Adwumam,2005,Ashanti,5.92645,-1.70483,NON,0,0,pond,lentic,human,110,99.56483768,63.43494797,NE,2,3.224042098,0.790980016,4.730803995,1.616229349,4.663979741,1.790000583,4.058549977,1.76254825,0,0,0,0,0,0,0,0,0,0,0,3.619441572,2.276254527,2.691774731,7.012713015,0,1.13753878,0.336264873,0.076523753,0.077048574,0,0,0,0,0,0,3.929679421,1.474392137,0.453971996,0.54968211,7.209999972,18,39,5.000000005,11.58,45.00000001,87.74,4.80402104,27.83,27.04,7.340000017,4.379999978,0.024000001,0.049999999,0.006,5.6,60.5,7.084,0.01,12.7,13.00000003,32,72.99999992,0.055999999
S.5.18,Upper Denkyira,Ampa Abena,2005,Ashanti,6.13711,-2.03272,END,1,0,river,lotic,human,123,131.0708189,100.4374771,E,3,5.549106439,1.316280441,4.514020663,1.332919252,4.691954756,1.615102915,4.521089407,1.75913358,0,0,0,0,0,0,0,0,0,0,0,0.103199174,0.491718427,2.280484021,15.60068049,0,0,0,0.020684662,0.014995682,0,0,0,0,0,0,0,0.025879917,0.611231772,0.422464566,8.019999963,16,39,7.900000029,11.59,50.00000023,62.45,4.52536912,23.3,14.82,1.60999999,4.869999977,0.017000001,0.074999997,0.008,8.3,-8.03,6.506,0.01,8.4,13.00000003,32,57.00000012,0.082999998
S.5.2,Dangme West,Asebi,2005,Accra,5.90737,-0.00488,NON,0,1,pond,lentic,human,32,25.06510999,174.8055725,S,5,6.287513256,1.774434059,5.71792471,1.428161729,5.799030539,1.473078078,5.862639117,1.704585491,0,0,0,0,0,0,0,0,0.172750877,0.144777289,5.555555556,0.208333333,0.051666236,0.015516546,1.847203084,0,7.708333333,8.266597778,2.578849914,6.032042316,36.11111111,68.54166667,67.94110049,76.75724881,62.10738855,0,0,0,0.244126987,0.292656948,6.399999998,16,43.9,26.79999998,21.75,34.99999995,28.52,4.4543473,27.18,10.59,1.589999997,2.919999985,0.019,0.060000001,0.011,7.1,132,6.584,0.01,9.08,30.99999986,36,57.99999997,0.071
S.5.3,Dangme West,Odumse,2005,Accra,5.84639,-0.04369,NON,0,1,pond,lentic,human,38,20.81710012,196.3895416,S,5,5.025845766,0.849741675,5.855682482,1.485275806,6.085385957,1.78644818,5.761096554,1.754282142,0,0,0,0,0,0,0,0,0.080661007,0.107040913,0,0,0,0.025852887,0.398947173,0,4.747162023,7.159472732,8.038179543,11.11570761,15,66.35706914,67.12328767,73.91236906,63.91506019,0,0,0.051692944,0.079626891,0.300697059,12.00000003,30.1,87.8,3.999999988,76.14,200.0000007,107.2,5.37851391,28.41,110.7,2.5,2.890000009,0.049999999,0.938000028,0.071,25.225,97.2,7.575,0.040000001,16.6,451.0000002,72,121.0000005,1.008999999
S.5.4,Dangme West,Afienya,2005,Accra,5.7972,-0.00954,NON,0,0,river,lotic,nature,24,14.23134034,111.2505035,E,3,4.312523524,0.269406047,5.544950721,1.538742318,5.462013367,1.789795661,5.644100899,1.856292499,0,0,0,0,0.114534803,0,0,0,0.279245829,0.806397402,0,0,0,0.028958827,0.037747362,18.42105263,13.48547718,13.92764858,15.07824054,9.396507593,31.57894737,51.14107884,55.47803618,59.38627972,60.80091628,0,0.726141079,0.206718346,0.33095802,3.408379914,7.199999965,18,29.3,17.89999996,12.6,179.9999998,35.04,4.96494033,25.79,13.16,5.969999978,0.999999999,0.03,0.476999994,0.121000004,33.2222222,84.8,6.965,0.018,35.3,228.9999992,24,121.9999994,0.598000015
S.5.5,Dangme West,Abbeypanya,2005,Accra,5.78635,-0.03986,NON,0,0,lake/reservoir,lentic,human,38,15.0878722,149.0362396,SE,4,5.587393284,0.84529237,6.03442267,2.281812705,6.161732992,2.441962887,5.572552805,1.758938912,0,0,0,0,0.035422393,0,0.92879257,0.232798758,0.202705498,0.948647873,0,0,0,0.002068423,0.021977397,42.5,39.9380805,29.87584066,18.78749018,10.98378585,47.5,42.31166151,49.74133471,61.31117362,55.46500294,0,0,0,0.108592231,2.849563426,8.000000024,20,56.1,5.000000005,12.93,39.99999984,87.35,5.09620118,26.77,12.48,0.620000004,4.859999979,0.074999997,0.055,0.011,6.6,119,7.367,0.01,5.5,82.00000022,46,101.9999997,0.066000002
S.5.6,Akuapim South,Pakro,2005,Accra,5.90659,-0.3175,END,1,0,river,lotic,nature,59,42.07189567,257.4122925,W,7,4.158260981,0.422353234,5.758102448,2.560965463,5.060439948,2.2863547,4.539487013,1.857007247,0,0,0,0,0,0,0,0,0,0.004912709,0,0.517598344,0.181065701,0.473600397,0.640462105,23.07692308,14.07867495,11.89860321,11.36847765,13.11331292,46.15384615,24.43064182,11.04500776,3.3772465,2.765079431,2.564102564,0.724637681,0.181065701,0.012408744,0.026114926,52.90000011,132,439,25.80000007,56.76,55.00000026,2.728,6.82513425,24.3,2.425,2.010000006,31.1,1.460000006,0.048999999,0.012,0.25738397,-25.3,7.165,0.237000009,10,19.99999993,360,498.0000015,0.061000001
S.5.7,Akuapim South,Bowkrom,2005,Accra,5.85621,-0.34209,END,1,1,stream,lotic,nature,58,37.84238654,147.3390808,SE,4,3.535129547,0.359406115,4.936411829,1.822515457,4.483942073,1.874300111,4.613565547,1.892224755,0,0,0,0,0,0,0,0,0.008273095,0.009566656,0,0,0.155279503,0.499488102,0.810838763,5,14.66942149,19.66873706,24.9402786,20.06179543,0,3.305785124,2.044513458,3.729097509,3.624469956,0,0,0,0.37849409,0.198055642,32.09999992,80.2,181,65.50000016,5.431,4.999999988,72.34,6.11567135,25.7,0.8577,0.144000001,12.59999996,0.051000002,0.489999994,0.004,49.4,-17.2,7.732,0.01,10.8,7.999999987,148,255.0000012,0.493999981
S.5.8,Ga West,Afuaman,2005,Accra,5.63174,-0.35761,END,1,0,river,lotic,nature,15,13.97597148,201.8014069,S,5,5.868167281,1.111904376,6.013373098,1.523966901,5.761956331,1.398560736,6.162043597,2.992862884,0,0,0,3.89662768,3.768228359,0,0,0,5.407501629,2.806650119,0,0,0,0.276114541,0.137294446,0,5.475206612,6.708106708,7.946307614,15.84393422,0,20.04132231,33.30743331,51.87540719,36.07689523,0,0.20661157,0.12950013,0.397108553,2.668838556,28.09999988,70.1,146,64.49999983,12.95,4.999999988,2.238,6.27870902,25.48,0.1089,0.130000002,12.1,0.061000001,0.115999999,0.03,14.6,60.9,7.08,0.01,12.5,9.99999997,120,303.9999996,0.145999994
S.5.9,Ga West,Weija,2005,Accra,5.54826,-0.38503,END,0,0,lake/reservoir,lentic,human,19,6.117143449,322.3385925,NW,8,6.215562463,3.125722657,5.443813091,2.277268299,5.937104855,3.11347692,6.494750718,4.101300253,0,0,0.594622544,9.439503619,14.28685926,0,8.695652174,16.83040331,4.929679421,3.544890921,0,0.931677019,0.439503619,0.188210962,0.265782792,0,3.623188406,2.998965874,9.574974147,8.681634616,59.45945946,56.93581781,45.83764219,28.6204757,32.60803243,0,1.966873706,3.10237849,4.925542916,4.799602877,17.59999999,44,132,78.40000014,20.56,14.99999998,101.5,5.87155425,26,7.179,0.03,13.10000004,0.021000001,0.027,0.246000011,27.3,41.1,8.547,0.01,8.57,14.99999998,108,224.9999995,0.272999996
S.6.1,Jasikan,Takrabe,2006,Volta,7.33861,0.41121,NON,0,0,stream,lotic,nature,161,160.593726,281.1730042,W,7,9.757425785,3.220643437,5.327217569,2.243760234,4.954689182,2.005991681,3.987891845,2.056595702,0,0,0,0,0,0,0,0,0,0,100,79.8553719,65.68475452,31.84605363,21.11711796,0,0,0,0,0,0,0,1.860465116,6.129729394,4.848480148,0,0.103305785,0.051679587,0.014476419,0.067221503,2.399999994,6,19.5,2.000000004,3.34615385,34.99999995,85.4589744,3.71357207,24.73566,31.6717949,1.219999996,1.900000009,0.02,1.570000001,0.011,112.928571,121.626496,7.2217094,0.014000001,15.3,13.00000003,16,23.39999994,1.581000003
S.6.10,Kpandu,Anfoega Ando,2006,Volta,6.90363,0.31125,NON,0,0,riverine wetland,lentic,nature,110,123.6537329,145.0079804,SE,4,7.859440923,2.672953923,5.603867676,1.943959756,5.540074232,1.811256458,5.140395904,1.768666477,0,0,0,0.057906275,3.452555481,0,0,0,0,0,0,9.232365145,6.489141675,8.848285561,9.144501586,0,0,0,0.014476569,0.019392021,66.66666667,29.87551867,28.56773526,14.06398643,11.76139023,0,0,0,0.058940315,0.061537348,1.600000013,4,26.8,0.999999999,5.33793103,79.99999963,67.087931,3.71902396,25.3247126,47.65,3.949999994,0.999999999,0.092,0.772000022,0.017000001,3.73933649,157.843103,6.82362069,0.21100001,18.3,23.99999999,22,24.29999999,0.788999967
S.6.11,Kpandu,Kpandu Agudzi,2006,Volta,7.02687,0.31931,NON,0,0,fetch,lentic,human,128,137.2891607,250.1148377,W,7,4.640766303,0.774467461,4.314731614,1.594659039,4.554931301,1.870802567,4.935143935,1.857420796,0,0,0,0.152003971,16.04582675,0,0,0,0,0,45.94594595,15.44799176,5.371900826,7.296190594,8.827932496,0,0,0,0.085825371,0.035422393,0,10.19567456,10.35640496,9.345659098,6.888491859,2.702702703,1.441812564,0.387396694,0.428092816,0.142723801,0,0,17.1,5.000000005,8.28360656,110.0000005,5.70491803,4.14235378,25.5509107,61.0606557,3.459999986,0,0.071,1.200000004,0.035000001,3.44972067,39.1622951,5.55327869,0.357999997,28.4,21.99999993,14,46.79999986,1.235
S.6.12,Hohoe,Akplamafu,2006,Volta,7.1149,0.4003,NON,0,0,stream,lotic,nature,144,140.0007371,165.4655457,S,5,6.21605746,1.588700309,5.643417123,1.723472594,5.28046487,1.639162147,4.812474742,1.960962331,0,0,0,0,0.010083721,0,0,0,0,0,62.5,49.63805584,59.56015524,28.69316125,20.9857742,0,0,0,0,0.000775671,0,0.827300931,1.241914618,11.82845738,9.470682228,0,0,0,0.063082348,0.17168181,1.600000013,4,19.5,2.000000004,4.12361111,55.00000026,79.0027778,3.63831689,24.6628086,22.9319444,1.460000006,0.999999999,0.057999998,1.460000006,0.019,9.73026316,97.4791667,6.91194444,0.151999994,12.3,14.99999998,16,21.8,1.478999994
S.6.13,Ho,Adaklu Dzakpo,2006,Volta,6.47864,0.41836,NON,0,0,river,lotic,nature,54,76.65835253,186.3401947,S,5,6.689742724,2.0978825,6.213731609,1.806754617,5.797483887,1.674550412,5.71898386,1.730075392,0,0,0,0,0,0,0,0,0.543163384,1.132620824,0,0,0.181206316,0.975624897,2.563326974,0,0.729166667,0.181206316,0.087940738,0.726211343,45.71428571,64.27083333,81.23220295,86.99304751,79.12911516,0,0,0.103546467,0.004138388,0.055325464,17.59999999,44.1,110,19.90000002,6.4,69.99999986,77.9380952,5.57835122,24.937478,31.8777778,2.290000015,2.399999994,0.024999999,0.590999977,0.02,16.0789474,88.5095238,7.74,0.038000001,20,26.00000005,90,151.9999999,0.611000012
S.6.14,Ho,Adaklu Amedzivie,2006,Volta,6.44893,0.49859,NON,0,0,wetland,lentic,nature,63,74.14784836,146.6893616,SE,4,6.240772367,1.782505065,5.586735899,1.275646036,5.904652009,1.80430853,5.742040936,1.901222164,0,0,0,0,0,0,0,0.051786639,3.283384523,3.304832108,0,0,0,1.101355753,0.841074859,0,0.206398349,0.207146556,2.553283902,5.886748352,100,93.08565532,88.89176592,82.00912109,72.64761471,0,0,0.051786639,0.228544246,2.121432284,3.999999988,10,48.8,0,5.84181818,50.00000023,35.4127273,4.39107647,28.2414141,17.5236364,0.775999997,1.900000009,0.153999996,0.569000026,0.014000001,7.02409639,132.232727,6.89854545,0.082999998,12.3,21.00000005,40,43.99999983,0.582999996
S.6.15,Ho,Adaklu Dorkpo,2006,Volta,6.3935,0.50163,NON,0,0,wetland,lentic,nature,46,68.13656107,280.4914856,W,7,5.631793976,0.297172624,6.295802507,2.069424014,5.68917412,1.600450934,5.846085218,1.731357687,0,0,0,0,0,0,0.206185567,0.129299198,0.145814805,1.147223084,0,0,0,0.627727564,0.40412659,0,14.94845361,14.30049134,13.87102112,6.949529424,53.84615385,51.95876289,70.05430566,65.4015595,74.82599028,0,0.412371134,1.034393587,4.274131833,2.295997518,12.00000003,30.1,75.6,0.999999999,7.4490566,19.99999993,7.72264151,4.82665198,27.4713836,1.8,0.563000001,2.399999994,0.128999997,0.335000016,0.003,4.07228916,89.3509434,6.84962264,0.082999998,1.98,7.000000007,62,73.19999993,0.337999994
S.6.16,Ho,Adaklu Tevikpo,2006,Volta,6.35666,0.52505,NON,0,0,lake/reservoir,lentic,human,66,64.62150343,205.559967,SW,6,5.128170331,0.435716869,5.540630353,1.38522896,5.789855514,1.577469756,5.795672759,1.709823664,0,0,0,0,0,0,0.728407908,0.180831826,0.158258945,0.415464483,5.263157895,0.728407908,0.180831826,0.013446838,0.235266135,0,5.723204995,8.214931542,10.05099455,9.203559499,73.68421053,59.93756504,57.78868509,67.71931276,70.2085854,0,2.705515088,3.177473521,3.950267385,2.392217086,9.599999988,24,68.3,6.900000004,15.6791045,59.99999987,21.4492537,4.78898317,29.2890547,6.35820896,1.11000001,1.900000009,0.165000001,0.632999973,0.009,3.04265403,127.856716,6.88671642,0.21100001,4.09,46.99999992,56,69.90000005,0.641999984
S.6.17,Ho,Gavorkpo,2006,Volta,6.52854,0.63203,NON,0,0,fetch,lentic,human,83,72.82351467,64.98310852,NE,2,6.176066399,1.74985713,5.737810959,1.393491939,5.589894504,1.433998963,5.692643282,1.70546172,0,0,0,0,0,0,0,0,0.197526268,0.835582581,0,0,0,0,0.247675777,0,0,0.284458236,1.670182841,2.130838995,100,99.27536232,85.93224722,53.35070737,42.5162101,0,0,0.129299198,0.80148093,0.89685519,1.600000013,4,34.2,6.000000007,13.7564516,100.0000004,19.3467742,4.3110156,26.6638889,45.0080645,2.520000011,0.999999999,0.978000009,0.996000021,0.033000001,3.28753994,193.1,6.46048387,0.312999996,14.3,27.00000011,28,43.00000019,1.029000003
S.6.18,Ho,Wayanu,2006,Volta,6.58938,0.56437,NON,0,0,stream,lotic,nature,97,82.85709273,162.5528107,S,5,5.272833109,0.400569343,5.896861998,2.265834778,5.694394439,1.827362786,5.834562833,1.764911466,0,0,0,0,0.000517117,0,0,0,0.027922561,1.612886545,0,1.034126163,0.827943079,3.414825846,4.478487951,0,0,0,0.077562671,1.590391974,0,0.723888314,0.232858991,0.656697278,11.01225566,0,0,0,0.002068338,0.323973524,8.000000024,20,56.1,9.900000008,8.085,69.99999986,51.1333333,4.74130236,24.9491667,34.1066667,1.069999993,0.500000003,0.030999999,0.590999977,0.011,1.86956522,147.92,7.1025,0.322000011,13.6,9.000000024,46,66.60000016,0.60200002
S.6.19,Ho,Abutia Kloe,2006,Volta,6.48063,0.34758,NON,0,0,fetch,lentic,human,116,76.81181266,138.3885498,SE,4,4.896860957,2.235024617,4.600091277,1.240086587,4.220924903,1.748779891,4.946783749,2.117029948,0,0,0,0,0,0,0,0,0.004137532,0.00568762,0,0,0.051692944,4.612313294,3.255904138,13.15789474,11.35416667,10.49366761,2.440109231,1.451635837,2.631578947,36.5625,44.27500646,63.21113824,67.8230633,0,0,0.180925304,0.010343829,0.048086245,4.800000014,12,34.2,10.9,6.302,110.0000005,6.988,4.53109298,25.7927778,140.21,2.829999986,2.399999994,0.094999999,0.388000015,0.026000001,1.98086124,111.826,5.8122,0.209000006,15.9,33.99999984,28,54.90000008,0.414000002
S.6.2,Jasikan,Nkonya Bumbula,2006,Volta,7.23443,0.33763,NON,0,0,stream,lotic,nature,92,154.8633832,282.5634766,W,7,7.960643172,3.749669274,5.345235197,2.170947489,5.229323302,1.941574378,4.83800113,2.870905268,0,0,0,6.988841433,13.45168346,0,0,0,0,0,76.92307692,55.25773196,40.77142118,17.21873481,10.47207327,0,0,0,0,0.002585569,0,2.577319588,9.500388299,8.864804492,7.563566224,0,0.412371134,0.1553197,0.012409899,0.063346451,4.800000014,12,39,2.000000004,3.05306122,19.99999993,71.2387755,4.49980967,26.3778345,5.40510204,0.625000008,0.500000003,0.004,1.060000002,0.0005,75.75,54.6704082,7.12561224,0.014000001,15.3,4.999999988,32,52.99999981,1.060500005
S.6.20,Ho,Agodeke,2006,Volta,6.39933,0.30215,NON,0,0,stream,lotic,nature,76,67.86265415,128.516922,SE,4,5.884819984,1.375396388,6.05767567,2.029373556,5.74151608,1.727183672,5.313971555,1.87291048,0,0,0,0,0,0,0,0,0.005170791,1.075852654,0,0,0,6.682730591,3.818100491,20.51282051,4.231166151,1.525336091,1.414728482,1.810411027,7.692307692,23.73581011,41.52016546,59.89637734,61.625595,0,0,0,0.021717323,0.028958303,18.40000008,46.1,117,13.89999996,7.72553191,39.99999984,57.9021277,5.26092477,25.5119385,27.0404255,0.979000003,3.900000024,0.38000001,1.880000006,0.02,9.79381443,109.851064,7.53468085,0.194000004,6.31,19.00000002,96,134,1.900000007
S.6.21,Suhum Kraboa Coaltar,Sumui,2006,Accra,5.94169,-0.32136,END,0,0,stream,lotic,nature,63,45.90750577,177.5104523,S,5,4.294107378,0.459863025,4.958480156,1.448819934,4.779347038,1.553114069,4.645007127,1.795022318,0,0,0,0,0,0,0,0,0,0.004912176,10.25641026,1.240951396,0.542635659,0.349567178,0.332218183,5.128205128,0.827300931,1.80878553,7.941793962,10.4988702,2.564102564,1.551189245,1.291989664,3.538074898,2.610950532,0,0,0,0.014479114,0.015253598,23.19999992,58.1,176,21.80000009,6.80307692,34.99999995,74.8738462,5.83291961,24.9092308,22.7538462,1.659999993,6.300000013,0.598999989,0.804000008,0.007,1.89929742,62.8276923,7.75523077,0.426999985,0.266,19.00000002,144,194.0000002,0.81100002
