ADM2,WaterPercent,WetlandsPercent,SaltPercent,ForestPercent,CroplandPercent,RiparianPercent,ShrublandPercent,UrbanPercent,SandPercent,CloudPercent,BackgroundPercent
Adansi North,5.81E-05,0,0,0.109387081,0.08987219,0.008187941,0.759540307,0.032954378,0,0,0
Adansi South,0,0,0,0.162344519,0.052140994,0,0.780453727,0.005020038,0,4.07E-05,0
Afigya-Sekyere,0.000127141,0,0,0.567198913,0.049815521,0,0.330330566,0.001958218,0,0.050569641,0
Ahafo Ano North,0.000847206,0,0,0.729634636,0.015498741,0,0.23900461,0.014597622,2.57E-06,0.000410767,3.85E-06
Ahafo Ano South,7.35E-05,0,0,0.610068502,0.109690065,0,0.214220132,0.003679782,0,0.062268068,0
Amansie Central,0.00031918,0,0,0.120904504,0.094917413,0.000460059,0.77414924,0.009249605,0,0,0
Amansie East,0.010967718,0,0,0.131885738,0.079764345,0.000245161,0.771302642,0.00582902,0,5.38E-06,0
Amansie West,0.000253517,0,0,0.102446643,0.052382944,0.000499837,0.834839376,0.009232994,0,0.000344688,0
Asante Akim North,7.86E-06,0,0,0.359437255,0.053863178,0,0.55412523,0.00135409,0,0.031212388,0
Asante Akim South,0,0,0,0.390201671,0.027695609,7.69E-07,0.51438424,0.002907359,0,0.064810353,0
Atwima,0.003089104,0,0,0.351031826,0.112829945,0,0.311866983,0.009197881,0,0.21198426,0
Atwima Mponua,0.00014788,0,0,0.426277673,0.021764467,6.22E-05,0.50596158,0.00472114,0.000180965,0.035016545,0.005867589
Botsomtwe/Atwima/Kwanhuma,0.053661533,0,0,0.043997412,0.267288661,0.000485539,0.572653679,0.043229378,0,0.018683798,0
Ejisu-Juaben,0,0,0,0.496065977,0.036540635,0,0.372061285,0.006823741,0,0.088508362,0
Ejura/Sekyedumase,2.73E-06,0,0,0.081971248,0.312669629,0,0.597109913,0.007824479,0,0.000422005,0
Kumasi Metropolitan,0.000525977,0,0,0.108083494,0.049602595,0,0.264250093,0.214574445,0,0.362963396,0
Kwabre,1.07E-05,0,0,0.398445222,0.053551679,0,0.323997542,0.024245986,0,0.199748885,0
Obuasi Municipal,0,0,0,0.28712638,0.014311294,4.19E-05,0.69756496,0.000955482,0,0,0
Offinso,0.003560896,0,0,0.345886766,0.168459292,0,0.461559847,0.005918109,6.13E-05,0.014543885,9.91E-06
Sekyere East,4.70E-05,0,0,0.157034596,0.110024778,0,0.72890395,0.000392806,0,0.003596895,0
Sekyere West,3.02E-06,0,0,0.121786155,0.243293785,0,0.634138453,0.000455906,0,0.000322682,0
Asunafo North,4.26E-05,0,0,0.78797369,0.013622497,0,0.173045297,0.012564833,2.68E-05,0,0.012724273
Asunafo South,5.27E-05,0,0,0.530709942,0.035430568,0,0.407158568,0.015610964,0.000286491,0,0.01075079
Asutifi,0.000138809,0,0,0.729003991,0.016891543,0,0.236065179,0.015747041,1.62E-06,0,0.002151816
Atebubu-Amantin,8.75E-06,0,0,0.004911467,0.413118475,0,0.568643599,0.013230807,0,8.69E-05,0
Berekum,0.00807427,0,0,0.394197145,0.034690704,0,0.543900681,0.018703987,0.000419727,0,1.35E-05
Dormaa,0.000302821,0,0,0.462728564,0.011641658,0,0.491113813,0.034189725,1.66E-05,0,6.86E-06
Jaman North,0.012474947,0,0,0.103505583,0.122038118,0,0.589767083,0.015604576,0.002413823,0,0.154195869
Jaman South,0.004899095,0,0,0.203886823,0.055404157,0,0.701784908,0.032780631,0.001198177,0,4.62E-05
Kintampo North,0,0,0,0.017487838,0.057944545,0,0.377001336,0.049649479,0,0.045314763,0.452602039
Kintampo South,0.004197287,0,0,0.081889108,0.057468404,0,0.419151538,0.039477878,0.000183563,0.169944465,0.227687757
Nkoranza,6.83E-05,0,0,0.050284983,0.200586921,0,0.73557683,0.011971286,1.82E-05,0.001493415,0
Pru,2.28E-06,0,0,0.005431312,0.142474384,0,0.396164529,0.054249839,0,0.004098926,0.397578729
Sene,0.142846906,0,0,0.016441249,0.080799072,0,0.676458756,0.013266409,0.000291785,0.000385108,0.069510715
Sunyani,0.002369013,0,0,0.395552329,0.08028487,0,0.479629227,0.039911956,0.002240561,0,1.20E-05
Tain,0.008059247,0,0,0.068508875,0.100513989,0,0.442072665,0.016565288,0.004166028,0,0.360113909
Tano North,0.000648472,0,0,0.511830148,0.026663196,0,0.43722466,0.023220049,9.52E-05,0,0.000318287
Tano South,0.000306813,0,0,0.505331424,0.064052696,0,0.406681547,0.020544848,5.82E-06,0.003075402,1.45E-06
Techiman Municipal,0.01418719,0,0,0.247321621,0.115335633,0,0.596430339,0.024590071,0.002096599,1.59E-05,2.27E-05
Wenchi,0.019113065,0,0,0.129481796,0.127068259,0,0.622549705,0.026046763,0.005411177,0,0.070329234
Abura/Asebu/Kwamankese,0.000112852,0,0,0.002689244,0.467277669,0.001226967,0.39137137,0.067427979,0,0.069893919,0
Agona,0,0.000109909,0,0.003689595,0.141383014,0.000644149,0.67625609,0.00861323,0.000118256,0.169184366,1.39E-06
Ajumako/Enyan/Essiam,0,0,0,0.000602647,0.271378617,0.000802927,0.410265201,0.044942279,0,0.272008329,0
Asikuma/Odoben/Brakwa,0,0,0,0.139652849,0.099749244,0.000222189,0.627128493,0.01028904,0,0.122958185,0
Assin North,0,0,0,0.089683689,0.118251105,6.53E-06,0.779294543,0.007147978,0,0.005616152,0
Assin South,0,0,0,0.306333109,0.067408144,3.89E-06,0.609890546,0.00476163,0,0.011602677,0
Awutu/Effutu/Senya,0.003445826,0.005530371,0.00234156,0.004265954,0.33444664,0.002709649,0.597795343,0.047811487,0.00165317,0,0
Cape Coast Municipal,0.018000424,0,0,0.005709938,0.301230617,0.006698197,0.267190601,0.373114662,0,0.028055562,0
Gomoa,0.001697504,0.002775021,0.00105873,0.001482,0.218335916,0.005065988,0.662698457,0.03566858,0.00015251,0.071064189,1.11E-06
Komenda/Edina/Eguafo/Abirem,0.011021718,0,0,0.003010721,0.342162028,0.01869309,0.447420234,0.156087072,0,0.021605137,0
Mfantsiman,0.022889053,0.000590603,0.000550376,0.003419279,0.158976337,0.070963743,0.333343085,0.298897968,4.21E-05,0.110327501,0
Twifo/Heman/Lower Denkyira,0,0,0,0.222194665,0.072163007,6.04E-05,0.686364785,0.004296292,0,0.014920888,0
Upper Denkyira,8.51E-06,0,0,0.089779921,0.040611705,9.59E-05,0.861307939,0.008192897,0,3.09E-06,0
Afram Plains,0.278189464,0.000389114,2.38E-06,0.013276299,0.012085157,2.14E-05,0.668497947,0.022095207,0.005124445,0.000318397,1.70E-07
Akuapim North,0,0,0,0.025340566,0.130804735,0.001580024,0.840550503,0.001596818,0.000127354,0,0
Akuapim South,0,0.000298551,4.66E-06,0.014712983,0.211386001,0.000608765,0.770054835,0.00259833,0.00033587,0,0
Asuogyaman,0.342801693,0.021333224,8.00E-06,0.029610185,0.058696064,0.016279776,0.528562715,0.002581553,0.000124509,0,2.28E-06
Atiwa,0,2.54E-05,0,0.201704148,0.049286034,0.000223083,0.741886386,0.004995021,1.12E-05,0.001868823,0
Birim North,0,0,0,0.109822178,0.113795224,1.45E-06,0.767153594,0.008223635,0,0.001003922,0
Birim South,0,0,0,0.215677988,0.087493254,0.00341275,0.472090078,0.01269017,0,0.20863576,0
East Akim,0,0.000168492,0,0.150034234,0.027772034,0.001125831,0.819352348,0.001455156,9.19E-05,0,0
Fanteakwa,0.152954953,0.005287634,1.57E-06,0.051793884,0.093455358,0.002189986,0.687248933,0.007032412,3.53E-05,0,0
Kwaebibirem,0,0,0,0.161074703,0.161811695,0.000343555,0.603563981,0.017316166,0,0.055889899,0
Kwahu South,0.034084632,0.006753766,0,0.201242272,0.090975274,0.001634422,0.593629963,0.014665478,0.003123686,0.053890507,0
Kwahu West,0.001027948,4.95E-06,0,0.259659613,0.037865634,1.98E-05,0.379013021,0.006749778,0,0.315659237,0
Manya Krobo,0.15527155,0.016256536,9.61E-07,0.009244403,0.071987325,0.007297656,0.729358958,0.010486475,9.61E-05,0,0
New-Juaben Municipal,0,2.13E-05,0,0.044547554,0.147275107,0.000814116,0.794438473,0.011285877,0.001617589,0,0
Suhum/Kraboa/Coaltar,0,0,0,0.020987927,0.077312212,0.000224926,0.900453393,0.000978847,4.27E-05,0,0
West Akim,1.08E-06,0,0,0.05784043,0.11153501,6.46E-05,0.679658722,0.003463854,5.28E-05,0.147383471,0
Yilo Krobo,0,0.000872259,0,0.015997667,0.107485913,0.002495037,0.86969487,0.003373985,8.03E-05,0,0
Accra Metropolis,0.012457617,0.028263934,0.007005981,0.001321955,0.26823498,0.003729666,0.263370033,0.402678197,0.012922397,0,1.52E-05
Dangme East,0.069059407,0.10426916,0.019756426,0.001371758,0.539480468,0.00448833,0.129279458,0.115046334,0.01724866,0,0
Dangme West,0.003349364,0.009687964,0.001389406,0.001791618,0.281489039,0.003381829,0.637799172,0.056692685,0.004418322,0,6.01E-07
Ga East,0,0.000175797,0,0.005522307,0.414455833,0.000814015,0.494466228,0.080331415,0.004234406,0,0
Ga West,0.023345764,0.0196695,0.001180831,0.002715085,0.378793934,0.006137016,0.519261576,0.041794796,0.007099847,0,1.65E-06
Tema Municipal,0.007609814,0.009904442,0.001499744,0.000271984,0.398629352,0.001241168,0.413776195,0.160968724,0.006094746,0,3.83E-06
Bole,0,0,0,0,0,0,0,0,0,0,1
East Gonja,0.023387761,0,0,0.000852357,0.067375229,0,0.142132128,0.019883988,0,0.000252128,0.746116409
Adaklu-Anyigbe,0,0.004006754,8.15E-06,0.016676703,0.046115683,0.004339405,0.921567563,0.007187309,9.84E-05,0,0
Akatsi,0,0.005428525,3.28E-06,0.00037472,0.092137434,0.000563719,0.896931228,0.0024111,0.000214126,0,0.001935872
Ho Municipal,0.000158471,0.006673054,0,0.256770657,0.011394758,0.000393295,0.714416504,0.008055349,0.002137913,0,0
Hohoe,0.008586619,0,0,0.508263766,0.001257231,0,0.470739292,0.004982111,0.006170982,0,0
Jasikan,0.140140378,0,0,0.521307338,0.006322717,0,0.326076405,0.004187661,0.001965501,0,0
Kadjebi,0.001683324,0,0,0.674860483,0.005436813,0,0.308305395,0.003420157,0.006293827,0,0
Keta,0.004907574,0.029033059,0.000459428,0.00770418,0.085696869,0.035679253,0.275653909,0.027466599,0.001474374,0,0.531924754
Ketu,0,0.000297749,0,7.22E-05,0.039157279,0.000269392,0.090979866,0.000226857,2.06E-05,0,0.868976051
Kpando,0.43032716,0,0,0.083777355,0.00326204,0,0.473994075,0.007244674,0.001394697,0,0
Krachi,0.253488915,0,0,0.001867865,0.001987041,0,0.422250128,0.023046428,0.009542433,0,0.28781719
Krachi East,0.305523141,0,0,0.119614712,0.001774521,0,0.525080462,0.00527789,0.005871644,0,0.03685763
Nkwanta,3.65E-06,0,0,0.124889898,0.000364267,0,0.074859867,0.001320619,0.003024998,0,0.795536697
North Tongu,0.001462282,0.028225882,4.23E-05,0.001261699,0.203361997,0.001137116,0.745955517,0.018225608,0.000326127,0,1.44E-06
South Dayi,0.319721452,0.000517129,0,0.076399206,0.029261601,0.002357757,0.567831521,0.003372293,0.000539041,0,0
South Tongu,0.004324532,0.057001377,0.000413862,0.00478366,0.224099689,0.015838296,0.677569338,0.013757671,0.002211574,0,0
Ahanta West,0,0,0,0,0,0,0,0,0,0,1
Aowin/Suaman,7.76E-05,0,0,0.209551756,0.091857303,0,0.695806879,0.001876642,0.000829843,0,0
Bia,8.34E-06,0,0,0.541897465,0.06525118,0,0.367965007,0.010388981,0.000877949,0,0.013611081
Bibiani/Anhwiaso/Bekwai,0.000193965,0,0,0.193896498,0.078740469,1.88E-06,0.711133981,0.015129288,0.000897325,6.59E-06,0
Jomoro,0.021738103,0,0,0.415366991,0.047891933,0,0.475462864,0.012841038,0.026699071,0,0
Juabeso,7.34E-06,0,0,0.154135189,0.177792825,0,0.658398097,0.008109502,0.001544946,0,1.21E-05
Mpohor/Wassa East,0,0,0,0.344871437,0.047334335,0.000230717,0.534490158,0.003436056,0,0.001769113,0.067868184
Nzema East,0.002378592,0,0,0.368920347,0.006991033,0,0.322321738,0.002416882,0.004487052,0,0.292484356
Sefwi-Wiawso,4.89E-06,0,0,0.189191019,0.101568294,0,0.70246646,0.005453904,0.001315435,0,0
Shama Ahanta East Metropolitan,0.003270452,0,0,0.048627569,0.181417933,0.023180186,0.264445814,0.062233387,0,0.005074204,0.411750456
Wasa Amenfi East,2.06E-05,0,0,0.173324901,0.017523925,8.00E-06,0.806483881,0.002638158,0,5.71E-07,0
Wasa Amenfi West,0.000304733,0,0,0.227372996,0.029674135,2.78E-07,0.739675805,0.002707599,0.000264454,0,0
Wassa West,0.000182038,0,0,0.316419548,0.026607192,0.002720226,0.58818946,0.013331177,0,2.10E-05,0.052529328
